name,start datetime,venue names,attractions names,public start datetime,public end datetime,presales start datetime,presales end datetime,url,artist,id,price ranges,ticket limit,timezone,TBA,TBD
PAUL McCARTNEY GOT BACK,2022-06-16 17:00:00,MetLife Stadium,Paul McCartney,2022-02-25 07:00:00,2022-06-16 19:00:00,"2022-02-22 07:00:00, 2022-02-22 07:00:00, 2022-02-22 09:00:00, 2022-02-22 09:00:00, 2022-02-24 07:00:00, 2022-02-24 07:00:00, 2022-02-25 07:00:00, 2022-02-25 07:00:00, 2022-02-22 07:00:00, 2022-02-25 07:00:00","2022-02-24 19:00:00, 2022-02-22 09:00:00, 2022-02-25 05:00:00, 2022-02-25 05:00:00, 2022-02-25 05:00:00, 2022-02-25 05:00:00, 2022-06-16 17:00:00, 2022-06-02 14:00:00, 2022-02-25 05:00:00, 2022-06-16 17:00:00",https://www.ticketmaster.com/paul-mccartney-got-back-east-rutherford-new-jersey-06-16-2022/event/00005C49B7605EB3,K8vZ9171uq0,k7vGF97JMbABS,"min: 39.5 USD, max: 399.5 USD",There is an overall (8) eight ticket limit for this event. There is a four ticket limit for VIP packages.,America/New_York,False,False
PAUL McCARTNEY GOT BACK,2022-05-13 19:30:00,SoFi Stadium,Paul McCartney,2022-02-25 10:00:00,2022-05-13 20:30:00,"2022-02-22 10:00:00, 2022-02-22 10:00:00, 2022-02-22 12:00:00, 2022-02-22 12:00:00, 2022-02-24 10:00:00, 2022-02-24 10:00:00, 2022-02-25 10:00:00, 2022-02-22 10:00:00, 2022-02-25 10:00:00, 2022-02-25 10:00:00","2022-02-24 22:00:00, 2022-02-22 12:00:00, 2022-02-25 08:00:00, 2022-02-25 08:00:00, 2022-02-25 08:00:00, 2022-02-25 08:00:00, 2022-04-17 17:00:00, 2022-02-25 08:00:00, 2022-05-13 19:30:00, 2022-05-13 19:30:00",https://www.ticketmaster.com/paul-mccartney-got-back-inglewood-california-05-13-2022/event/0A005C49D9E42D60,K8vZ9171uq0,vvG1IZ97E_yegO,"min: 39.95 USD, max: 380.0 USD",There is an overall 8 ticket limit for this event. There is a 4 ticket limit for VIP packages.,America/Los_Angeles,False,False
PAUL McCARTNEY GOT BACK,2022-05-28 17:00:00,Camping World Stadium,Paul McCartney,2022-02-25 07:00:00,2022-05-28 18:00:00,"2022-02-22 07:00:00, 2022-02-25 07:00:00, 2022-02-22 07:00:00, 2022-02-24 07:00:00, 2022-02-22 07:00:00, 2022-02-22 09:00:00, 2022-02-22 09:00:00, 2022-02-24 07:00:00, 2022-02-24 07:00:00, 2022-02-25 07:00:00, 2022-02-25 07:00:00","2022-02-25 05:00:00, 2022-05-28 18:00:00, 2022-02-24 19:00:00, 2022-02-25 05:00:00, 2022-02-22 09:00:00, 2022-02-25 05:00:00, 2022-02-25 05:00:00, 2022-02-25 05:00:00, 2022-02-25 05:00:00, 2022-05-28 18:00:00, 2022-05-14 14:00:00",https://www.ticketmaster.com/paul-mccartney-got-back-orlando-florida-05-28-2022/event/22005B91D45DC54D,K8vZ9171uq0,G5eFZpy6f9j4u,"min: 36.5 USD, max: 2100.0 USD",There is an overall 8 ticket limit for this event.,America/New_York,False,False
PAUL McCARTNEY GOT BACK,2022-06-04 17:00:00,Carrier Dome,Paul McCartney,2022-02-25 07:00:00,2022-06-04 18:00:00,"2022-02-22 07:00:00, 2022-02-22 07:00:00, 2022-02-22 09:00:00, 2022-02-22 09:00:00, 2022-02-24 07:00:00, 2022-02-24 07:00:00, 2022-02-24 07:00:00, 2022-02-22 07:00:00, 2022-02-25 07:00:00, 2022-02-25 07:00:00, 2022-02-25 07:00:00","2022-02-24 19:00:00, 2022-02-22 09:00:00, 2022-02-25 05:00:00, 2022-02-25 05:00:00, 2022-02-25 05:00:00, 2022-02-25 05:00:00, 2022-02-25 05:00:00, 2022-02-25 05:00:00, 2022-05-21 19:00:00, 2022-05-21 14:00:00, 2022-06-04 17:00:00",https://www.ticketmaster.com/paul-mccartney-got-back-syracuse-new-york-06-04-2022/event/00005B978A3510BC,K8vZ9171uq0,k7vGFpyr1uoeH,"min: 29.5 USD, max: 299.5 USD",There is an overall 8 ticket limit for this event.,America/New_York,False,False
PAUL McCARTNEY GOT BACK,2022-05-21 17:00:00,Truist Field at Wake Forest,Paul McCartney,2022-02-25 07:00:00,2022-05-21 19:00:00,"2022-02-22 07:00:00, 2022-02-22 07:00:00, 2022-02-22 09:00:00, 2022-02-22 09:00:00, 2022-02-22 07:00:00, 2022-02-24 07:00:00, 2022-02-24 07:00:00, 2022-02-24 07:00:00, 2022-02-25 07:00:00, 2022-02-24 07:00:00, 2022-02-25 07:00:00, 2022-02-22 07:00:00, 2022-02-25 07:00:00","2022-02-24 19:00:00, 2022-02-24 19:00:00, 2022-02-25 05:00:00, 2022-02-25 05:00:00, 2022-02-22 09:00:00, 2022-02-25 05:00:00, 2022-02-25 05:00:00, 2022-02-25 05:00:00, 2022-05-06 19:00:00, 2022-02-24 19:00:00, 2022-05-07 14:00:00, 2022-02-25 05:00:00, 2022-05-21 19:00:00",https://www.ticketmaster.com/paul-mccartney-got-back-winston-salem-north-carolina-05-21-2022/event/2D005C23F76F388F,K8vZ9171uq0,G5eVZ9e2MhSx2,"min: 26.5 USD, max: 296.5 USD",There is an overall 8 ticket limit for this event.,America/New_York,False,False
PAUL McCARTNEY GOT BACK,2022-05-06 20:00:00,Oakland Arena,Paul McCartney,2022-02-25 10:00:00,2022-05-06 21:00:00,"2022-02-22 10:00:00, 2022-02-22 12:00:00, 2022-02-24 10:00:00, 2022-02-24 10:00:00, 2022-02-22 10:00:00, 2022-02-25 10:00:00, 2022-02-22 10:00:00, 2022-02-25 10:00:00, 2022-02-24 10:00:00, 2022-02-22 12:00:00, 2022-02-24 10:00:00","2022-02-24 22:00:00, 2022-02-25 08:00:00, 2022-02-25 08:00:00, 2022-02-25 08:00:00, 2022-02-22 12:00:00, 2022-04-22 17:00:00, 2022-02-25 08:00:00, 2022-05-06 21:00:00, 2022-02-25 08:00:00, 2022-02-25 08:00:00, 2022-02-25 08:00:00",https://www.ticketmaster.com/paul-mccartney-got-back-oakland-california-05-06-2022/event/1C005C2AB92C45B0,K8vZ9171uq0,G5vYZ9eny57pY,"min: 29.5 USD, max: 399.5 USD",There is an overall 6 ticket limit for this event.,America/Los_Angeles,False,False
PAUL McCARTNEY GOT BACK,2022-05-31 17:00:00,Thompson-Boling Arena,Paul McCartney,2022-02-25 07:00:00,2022-05-31 19:00:00,"2022-02-22 07:00:00, 2022-02-25 07:00:00, 2022-02-22 09:00:00, 2022-02-22 09:00:00, 2022-02-24 07:00:00, 2022-02-24 07:00:00, 2022-02-24 07:00:00, 2022-02-24 07:00:00, 2022-02-22 09:00:00, 2022-02-25 07:00:00, 2022-02-22 07:00:00, 2022-02-22 07:00:00, 2022-02-25 07:00:00, 2022-02-22 07:00:00","2022-02-25 05:00:00, 2022-05-31 17:00:00, 2022-02-25 05:00:00, 2022-05-31 17:00:00, 2022-02-25 05:00:00, 2022-02-25 05:00:00, 2022-02-25 05:00:00, 2022-02-25 05:00:00, 2022-02-25 05:00:00, 2022-05-17 14:00:00, 2022-02-22 09:00:00, 2022-02-24 19:00:00, 2022-05-31 17:00:00, 2022-02-24 19:00:00",https://www.ticketmaster.com/paul-mccartney-got-back-knoxville-tennessee-05-31-2022/event/1B005C49E81F7600,K8vZ9171uq0,G5viZ97EI6MbZ,"min: 69.5 USD, max: 370.0 USD",There is an overall 6 ticket limit for this event.,America/New_York,False,False
PAUL McCARTNEY GOT BACK,2022-05-17 18:00:00,Dickies Arena,Paul McCartney,2022-02-25 08:00:00,2022-05-17 18:00:00,"2022-02-22 08:00:00, 2022-02-22 08:00:00, 2022-02-22 08:00:00, 2022-02-22 10:00:00, 2022-02-25 08:00:00, 2022-02-22 10:00:00, 2022-02-24 08:00:00, 2022-02-24 08:00:00, 2022-02-24 08:00:00, 2022-02-25 08:00:00, 2022-02-25 08:00:00","2022-02-25 06:00:00, 2022-02-24 20:00:00, 2022-02-22 10:00:00, 2022-02-25 06:00:00, 2022-05-17 18:00:00, 2022-02-25 06:00:00, 2022-02-25 06:00:00, 2022-02-25 06:00:00, 2022-02-25 06:00:00, 2022-05-17 15:00:00, 2022-05-03 15:00:00",https://www.ticketmaster.com/paul-mccartney-got-back-fort-worth-texas-05-17-2022/event/0C005C29BB4D2205,K8vZ9171uq0,vvG1YZ9eJDK3FA,"min: 39.5 USD, max: 375.0 USD",There is an overall 6 ticket limit for this event.,America/Chicago,False,False
PAUL McCARTNEY GOT BACK,2022-05-02 20:00:00,Climate Pledge Arena,Paul McCartney,2022-02-25 10:00:00,2022-05-02 21:00:00,"2022-02-22 10:00:00, 2022-02-22 10:00:00, 2022-02-22 12:00:00, 2022-02-22 12:00:00, 2022-02-24 10:00:00, 2022-02-24 10:00:00, 2022-02-24 10:00:00, 2022-02-25 10:00:00, 2022-02-25 10:00:00, 2022-02-22 10:00:00, 2022-02-25 10:00:00, 2022-02-24 10:00:00, 2022-02-24 10:00:00","2022-02-24 22:00:00, 2022-02-22 12:00:00, 2022-02-25 08:00:00, 2022-02-25 08:00:00, 2022-02-25 08:00:00, 2022-02-25 08:00:00, 2022-02-25 08:00:00, 2022-04-18 22:00:00, 2022-04-18 17:00:00, 2022-02-25 08:00:00, 2022-05-02 21:00:00, 2022-02-25 08:00:00, 2022-02-25 08:00:00",https://www.ticketmaster.com/paul-mccartney-got-back-seattle-washington-05-02-2022/event/0F005C2FACB744DD,K8vZ9171uq0,vvG1HZ9eXicVKq,"min: 49.0 USD, max: 450.0 USD",There is an overall 6 ticket limit for this event.,America/Los_Angeles,False,False
PAUL McCARTNEY GOT BACK,2022-05-03 20:00:00,Climate Pledge Arena,Paul McCartney,2022-02-25 10:00:00,2022-05-03 21:00:00,"2022-02-22 10:00:00, 2022-02-22 10:00:00, 2022-02-22 12:00:00, 2022-02-22 12:00:00, 2022-02-24 10:00:00, 2022-02-24 10:00:00, 2022-02-24 10:00:00, 2022-02-25 10:00:00, 2022-02-25 10:00:00, 2022-02-22 10:00:00, 2022-02-25 10:00:00, 2022-02-24 10:00:00, 2022-02-24 10:00:00","2022-02-24 22:00:00, 2022-02-22 12:00:00, 2022-02-25 08:00:00, 2022-02-25 08:00:00, 2022-02-25 08:00:00, 2022-02-25 08:00:00, 2022-02-25 08:00:00, 2022-04-19 22:00:00, 2022-04-19 17:00:00, 2022-02-25 08:00:00, 2022-05-03 21:00:00, 2022-02-25 08:00:00, 2022-02-25 08:00:00",https://www.ticketmaster.com/paul-mccartney-got-back-seattle-washington-05-03-2022/event/0F005C2FBAD348C0,K8vZ9171uq0,vvG1HZ9eXBVVNZ,"min: 49.0 USD, max: 450.0 USD",There is an overall 6 ticket limit for this event.,America/Los_Angeles,False,False
PAUL McCARTNEY GOT BACK,2022-05-25 17:00:00,Hard Rock Live,Paul McCartney,2022-02-25 07:00:00,2022-05-25 19:00:00,"2022-02-22 09:00:00, 2022-02-24 07:00:00, 2022-02-24 07:00:00, 2022-02-24 07:00:00, 2022-02-22 07:00:00, 2022-02-22 07:00:00, 2022-02-22 07:00:00, 2022-02-25 07:00:00, 2022-02-22 09:00:00, 2022-02-24 07:00:00, 2022-02-25 07:00:00, 2022-02-25 07:00:00","2022-02-25 05:00:00, 2022-02-24 19:00:00, 2022-02-24 19:00:00, 2022-02-24 19:00:00, 2022-02-24 19:00:00, 2022-02-22 09:00:00, 2022-02-25 05:00:00, 2022-05-25 19:00:00, 2022-02-25 05:00:00, 2022-02-25 05:00:00, 2022-05-11 19:00:00, 2022-05-11 14:00:00",https://www.ticketmaster.com/paul-mccartney-got-back-hollywood-florida-05-25-2022/event/0D005C49EA72E25E,K8vZ9171uq0,vvG1VZ97Enjmar,"min: 105.0 USD, max: 705.0 USD",,America/New_York,False,False
Paul McCartney,2022-06-12 17:00:00,Camden Yards,Paul McCartney,2022-02-22 06:05:00,2022-06-12 17:00:00,,,https://www.ticketmaster.com/event/Z7r9jZ1Ad8ekd,K8vZ9171uq0,Z7r9jZ1Ad8ekd,,,,False,False
PAUL McCARTNEY GOT BACK,2022-05-08 19:30:00,Oakland Arena,Paul McCartney,2022-03-18 10:00:00,2022-05-08 21:00:00,"2022-03-15 10:00:00, 2022-03-15 12:00:00, 2022-03-17 10:00:00, 2022-03-15 10:00:00, 2022-03-15 10:00:00, 2022-03-15 12:00:00, 2022-03-17 10:00:00, 2022-03-18 10:00:00, 2022-03-18 10:00:00, 2022-03-18 10:00:00","2022-03-17 22:00:00, 2022-03-18 08:00:00, 2022-03-18 08:00:00, 2022-03-15 12:00:00, 2022-03-18 08:00:00, 2022-03-18 08:00:00, 2022-03-18 08:00:00, 2022-05-08 21:00:00, 2022-04-24 17:00:00, 2022-04-24 22:00:00",https://www.ticketmaster.com/paul-mccartney-got-back-oakland-california-05-08-2022/event/1C005C52B9B46095,K8vZ9171uq0,G5vYZ9A1ycke4,"min: 29.5 USD, max: 399.5 USD",There is an overall 6 ticket limit for this event.,America/Los_Angeles,False,False
PAUL McCARTNEY GOT BACK,2022-06-07 15:30:00,Fenway Park,Paul McCartney,2022-02-25 07:00:00,2022-06-07 15:30:00,,,https://www.ticketmaster.com/event/Z7r9jZ1AdC9f8,K8vZ9171uq0,Z7r9jZ1AdC9f8,,,,False,False
PAUL McCARTNEY GOT BACK - Platinum Tickets,2022-06-07 15:30:00,Fenway Park,Paul McCartney,2022-02-25 07:00:00,2022-06-07 17:30:00,"2022-02-22 07:00:00, 2022-02-25 07:00:00","2022-02-25 05:00:00, 2022-06-07 17:30:00",https://www.ticketmaster.com/paul-mccartney-got-back-platinum-tickets-boston-massachusetts-06-07-2022/event/01005C52FB74809F,K8vZ9171uq0,vvG17Z9A5DqFeL,,There is an overall 8 ticket limit for this event.,America/New_York,False,False
Paul McCartney,2022-04-28 20:00:00,Spokane Arena,Paul McCartney,1999-12-07 22:07:00,2022-04-28 20:00:00,,,https://www.ticketmaster.com/event/Z7r9jZ1Ad8ZQ3,K8vZ9171uq0,Z7r9jZ1Ad8ZQ3,,,,False,False
PAUL McCARTNEY GOT BACK - Platinum Tickets,2022-06-08 15:30:00,Fenway Park,Paul McCartney,2022-03-04 07:00:00,2022-06-08 17:30:00,"2022-02-28 07:00:00, 2022-03-04 07:00:00","2022-03-04 05:00:00, 2022-06-08 17:30:00",https://www.ticketmaster.com/paul-mccartney-got-back-platinum-tickets-boston-massachusetts-06-08-2022/event/01005C55D942310D,K8vZ9171uq0,vvG17Z9A9_8N7u,,There is an overall 8 ticket limit for this event.,America/New_York,False,False
Paul McCartney,2022-06-08 14:00:00,Fenway Park,Paul McCartney,2022-03-04 07:00:00,2022-06-08 14:00:00,,,https://www.ticketmaster.com/event/Z7r9jZ1Ad8kue,K8vZ9171uq0,Z7r9jZ1Ad8kue,,,,False,False
PAUL McCARTNEY GOT BACK,2022-04-28 20:00:00,Spokane Arena,Paul McCartney,2022-02-22 06:01:00,2022-04-28 20:00:00,,,https://ticketswestinw.evenue.net/cgi-bin/ncommerce3/SEGetEventList?groupCode=ARNSPM&linkID=twcorp,K8vZ9171uq0,vvG1HZ9A_fE-e6,,,America/Los_Angeles,False,False
PAUL McCARTNEY GOT BACK,2022-06-07 14:00:00,Fenway Park,Paul McCartney,2022-02-25 07:00:00,2022-06-07 14:00:00,2022-02-24 07:00:00,2022-02-25 05:00:00,http://RedSox.com/PaulMcCartney,K8vZ9171uq0,vvG17Z9Ae6doL2,,,America/New_York,False,False
Paul McCartney,2022-06-08 14:00:00,Fenway Park,Paul McCartney,2022-03-04 07:00:00,2022-06-08 14:00:00,2022-03-02 07:00:00,2022-03-03 19:00:00,http://www.RedSox.com/PaulMcCartney,K8vZ9171uq0,vvG17Z9AJUY0QX,,,America/New_York,False,False
PAUL McCARTNEY GOT BACK,2022-06-12 17:00:00,Oriole Park At Camden Yards,Paul McCartney,2022-02-22 06:05:00,2022-06-12 17:00:00,,,http://www.orioles.com/mccartney,K8vZ9171uq0,G5vfZ9A_TY-9W,,,America/New_York,False,False
Weekends with Adele,,The Colosseum at Caesars Palace,Adele,2021-12-08 12:00:00,,,,https://www.ticketmaster.com/weekends-with-adele-las-vegas-nevada/event/39005B62BB559597,K8vZ917Gku7,G5d0ZpU1D4_p9,"min: 85.83 USD, max: 683.07 USD",There is an overall 4 ticket limit for this event.,America/Los_Angeles,True,False
Weekends with Adele,,The Colosseum at Caesars Palace,Adele,2021-12-08 12:00:00,,,,https://www.ticketmaster.com/weekends-with-adele-las-vegas-nevada/event/39005B62BB579599,K8vZ917Gku7,G5d0ZpU1D4yp_,"min: 85.83 USD, max: 683.07 USD",There is an overall 4 ticket limit for this event.,America/Los_Angeles,True,False
Weekends with Adele,,The Colosseum at Caesars Palace,Adele,2021-12-08 13:00:00,,,,https://www.ticketmaster.com/weekends-with-adele-las-vegas-nevada/event/39005B62BB7295AA,K8vZ917Gku7,G5d0ZpU1Djtpn,"min: 85.83 USD, max: 683.07 USD",There is an overall 4 ticket limit for this event.,America/Los_Angeles,True,False
Weekends with Adele,,The Colosseum at Caesars Palace,Adele,2021-12-08 15:00:00,,,,https://www.ticketmaster.com/weekends-with-adele-las-vegas-nevada/event/39005B62BB4E9591,K8vZ917Gku7,G5d0ZpU1DKtpo,"min: 85.83 USD, max: 683.07 USD",There is an overall 4 ticket limit for this event.,America/Los_Angeles,True,False
Weekends with Adele,,The Colosseum at Caesars Palace,Adele,2021-12-08 12:00:00,,,,https://www.ticketmaster.com/weekends-with-adele-las-vegas-nevada/event/39005B62BB59959B,K8vZ917Gku7,G5d0ZpU1Dp_ph,"min: 85.83 USD, max: 683.07 USD",There is an overall 4 ticket limit for this event.,America/Los_Angeles,True,False
Weekends with Adele,,The Colosseum at Caesars Palace,Adele,2021-12-08 13:00:00,,,,https://www.ticketmaster.com/weekends-with-adele-las-vegas-nevada/event/39005B62BB6F95A8,K8vZ917Gku7,G5d0ZpU1DhypI,"min: 85.83 USD, max: 683.07 USD",There is an overall 4 ticket limit for this event.,America/Los_Angeles,True,False
Weekends with Adele,,The Colosseum at Caesars Palace,Adele,2021-12-08 12:00:00,,,,https://www.ticketmaster.com/weekends-with-adele-las-vegas-nevada/event/39005B62BB5B959D,K8vZ917Gku7,G5d0ZpU1Dpypq,"min: 85.83 USD, max: 683.07 USD",There is an overall 4 ticket limit for this event.,America/Los_Angeles,True,False
Weekends with Adele,,The Colosseum at Caesars Palace,Adele,2021-12-08 13:00:00,,,,https://www.ticketmaster.com/weekends-with-adele-las-vegas-nevada/event/39005B62BB6D95A6,K8vZ917Gku7,G5d0ZpU1Dh_pJ,"min: 85.83 USD, max: 683.07 USD",There is an overall 4 ticket limit for this event.,America/Los_Angeles,True,False
Weekends with Adele,,The Colosseum at Caesars Palace,Adele,2021-12-08 13:00:00,,,,https://www.ticketmaster.com/weekends-with-adele-las-vegas-nevada/event/39005B62BB6B95A4,K8vZ917Gku7,G5d0ZpU1DQyp0,"min: 85.83 USD, max: 683.07 USD",There is an overall 4 ticket limit for this event.,America/Los_Angeles,True,False
Weekends with Adele,,The Colosseum at Caesars Palace,Adele,2021-12-08 12:00:00,,,,https://www.ticketmaster.com/weekends-with-adele-las-vegas-nevada/event/39005B62BB5E959F,K8vZ917Gku7,G5d0ZpU1D9tpL,"min: 85.83 USD, max: 683.07 USD",There is an overall 4 ticket limit for this event.,America/Los_Angeles,True,False
Weekends with Adele,,The Colosseum at Caesars Palace,Adele,2021-12-08 12:00:00,,,,https://www.ticketmaster.com/weekends-with-adele-las-vegas-nevada/event/39005B62BB6995A2,K8vZ917Gku7,G5d0ZpU1DQ_px,"min: 85.83 USD, max: 683.07 USD",There is an overall 4 ticket limit for this event.,America/Los_Angeles,True,False
Weekends with Adele,,The Colosseum at Caesars Palace,Adele,2021-12-08 15:00:00,,,,https://www.ticketmaster.com/weekends-with-adele-las-vegas-nevada/event/39005B62BB449589,K8vZ917Gku7,G5d0ZpU1Doapa,"min: 85.83 USD, max: 683.07 USD",There is an overall 4 ticket limit for this event.,America/Los_Angeles,True,False
Weekends with Adele,,The Colosseum at Caesars Palace,Adele,2021-12-08 14:00:00,,,,https://www.ticketmaster.com/weekends-with-adele-las-vegas-nevada/event/39005B62BB3F9585,K8vZ917Gku7,G5d0ZpU1D2ypA,"min: 85.83 USD, max: 683.07 USD",There is an overall 4 ticket limit for this event.,America/Los_Angeles,True,False
Weekends with Adele,,The Colosseum at Caesars Palace,Adele,2021-12-08 14:00:00,,,,https://www.ticketmaster.com/weekends-with-adele-las-vegas-nevada/event/39005B62BB3D9583,K8vZ917Gku7,G5d0ZpU1D2_pd,"min: 85.83 USD, max: 683.07 USD",There is an overall 4 ticket limit for this event.,America/Los_Angeles,True,False
Weekends with Adele,,The Colosseum at Caesars Palace,Adele,2021-12-08 14:00:00,,,,https://www.ticketmaster.com/weekends-with-adele-las-vegas-nevada/event/39005B62BB37957D,K8vZ917Gku7,G5d0ZpU1Duy4W,"min: 85.83 USD, max: 683.07 USD",There is an overall 4 ticket limit for this event.,America/Los_Angeles,True,False
Weekends with Adele,,The Colosseum at Caesars Palace,Adele,2021-12-08 13:00:00,,,,https://www.ticketmaster.com/weekends-with-adele-las-vegas-nevada/event/39005B62BB7695AC,K8vZ917Gku7,G5d0ZpU1Dqtpi,"min: 85.83 USD, max: 683.07 USD",There is an overall 4 ticket limit for this event.,America/Los_Angeles,True,False
